Book Id,Title,Author,Additional Authors,ISBN,Average Rating,Publisher,Binding,Number of Pages,Year Published
34878094,"For We Are Many (Bobiverse, #2)",Dennis E. Taylor,,1680680595,4.36,Ethan Ellenberg Literary Agency,Paperback,320,2017
35942178,"All These Worlds (Bobiverse, #3)",Dennis E. Taylor,,1680680609,4.4,Ethan Ellenberg Literary Agency,Paperback,280,2017
25306935,The Star of Kazan,Eva Ibbotson,,1447265726,4.01,Pan MacMillan,Paperback,400,2014
8385952,"Ender's Shadow (Shadow, #1)",Orson Scott Card,,,4.29,,Kindle Edition,484,
53302366,"Ascendance Trilogy: The False Prince, The Runaway King, The Shadow Throne",Jennifer A. Nielsen,,,4.65,Scholastic Press,Kindle Edition,352,2020
28595941,Arcanum Unbounded: The Cosmere Collection,Brandon Sanderson,,765391163,4.5,Tor Books,Hardcover,672,2016
15703770,"The Runaway King (Ascendance, #2)",Jennifer A. Nielsen,,545284155,4.24,Scholastic Press,Hardcover,331,2013
12432220,"The False Prince (Ascendance, #1)",Jennifer A. Nielsen,,545284139,4.17,"Scholastic, Inc.",Hardcover,342,2012
29520965,"The Blue Sword (Damar, #1)",Robin McKinley,,,4.17,HarperCollins Publishers,Kindle Edition,292,2016
40385088,"The Inner Level: How More Equal Societies Reduce Stress, Restore Sanity and Improve Everyone's Well-Being",Richard G. Wilkinson,Kate E. Pickett,,4.16,Penguin Press,Kindle Edition,352,2019
34523152,"The Water Will Come: Rising Seas, Sinking Cities, and the Remaking of the Civilized World",Jeff Goodell,,031626024X,4.18,"Little, Brown and Company",Hardcover,352,2017
28698036,"Secret History (Mistborn, #3.5)",Brandon Sanderson,,,4.37,"Dragonsteel Entertainment, LLC",Kindle Edition,160,2016
77711,"A Fire Upon the Deep (Zones of Thought, #1)",Vernor Vinge,,812515285,4.13,Tor Science Fiction,Mass Market Paperback,613,2010
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,,765326353,4.61,Tor Books,Hardcover,1007,2010
41580260,The Fifth Science,Exurb1a,,,4.49,,Kindle Edition,250,2018
39947376,The Myth of Sisyphus,Albert Camus,Justin O'Brien,525564454,4.16,Vintage,Paperback,160,2018
24113,"Gödel, Escher, Bach: an Eternal Golden Braid",Douglas R. Hofstadter,,465026567,4.27,Basic Books,Paperback,777,1999
8016155,Lord of the Flies,William Golding,Edmund L. Epstein,,3.69,Perigee / Penguin Group (USA),Paperback,208,2006
34705671,"The Blind Banker (Sherlock, #2)",Jay.,"Steve   Thompson, Steven Moffat, Mark Gatiss",1785856162,4.24,Titan Comics,Paperback,208,2017
30371085,A Study In Pink (Sherlock #1),Jay.,"Steven Moffat, Mark Gatiss",,4.34,Titan Comics ,Kindle Edition,224,2017
25499718,"Children of Time (Children of Time, #1)",Adrian Tchaikovsky,,1447273281,4.26,PanMacmillan,Hardcover,600,2015
56019043,Beyond Order: 12 More Rules For Life,Jordan B. Peterson,Juliette Fogra,593084640,4.25,Portfolio,Hardcover,432,2021
1071726,The Peregrine,J.A. Baker,,1590171330,4.18,NYRB Classics,Paperback,191,2004
6794,Cloud Atlas,David Mitchell,,340822783,4,Sceptre,Paperback,529,2005
49634542,The Enigma Game,Elizabeth Wein,,1368012582,3.98,"LIttle, Brown Books for Young Readers",Hardcover,448,2020
4926443,Childhood's End,Arthur C. Clarke,,345284658,4.1,Del Rey,Paperback,218,1980
13259262,The Martian Chronicles,Ray Bradbury,,1451678193,4.15,Simon  Schuster,Mass Market Paperback,241,2012
509784,The End of Eternity,Isaac Asimov,,449016196,4.23,Fawcett Crest,Mass Market Paperback,192,1971
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,,1841499889,4.25,Orbit,Paperback,561,2011
53244263,Earth Abides,George R. Stewart,,,3.95,Houghton Mifflin Harcourt,Kindle Edition,370,1976
13578175,The Emperor's Soul,Brandon Sanderson,,1616960922,4.32,Tachyon Publications,Paperback,175,2012
8935689,"Consider Phlebas (Culture, #1)",Iain M. Banks,,1857231384,3.86,Orbit,Paperback,471,1988
8565270,Inception: The Shooting Script,Christopher J. Nolan,,1608870154,4.31,Insight Editions,Paperback,239,2010
60211,"The Shadow of the Torturer (The Book of the New Sun, #1)",Gene Wolfe,,671540661,3.8,Pocket Books,Paperback,262,1984
53205854,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,,1250765374,4.41,Tor.com,Hardcover,176,2021
22200,"Count Zero (Sprawl, #2)",William Gibson,,441013678,4.01,Ace Books,Paperback,308,2006
52381770,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,,1250229863,4.44,Tor.com,Hardcover,350,2020
30753512,Generation Decks: The Unofficial History of Gaming Phenomenon Magic The Gathering,Titus Chalk,,1781084904,3.92,Solaris,Paperback,276,2017
1258746,The Stars My Destination,Alfred Bester,Neil Gaiman,575079096,4.09,Gollancz,Paperback,254,2006
154091,"Mona Lisa Overdrive (Sprawl, #3)",William Gibson,,553281747,3.99,Bantam Spectra,Mass Market Paperback,308,1989
23359837,500 Words You Should Know,Caroline Taggart,,1782432949,3.88,Michael O'Mara,Hardcover,192,2014
53445930,Absolution Gap,Alastair Reynolds,,316462659,4.01,Orbit,ebook,592,2020
53445907,Redemption Ark,Alastair Reynolds,,316462489,4.13,Orbit,ebook,592,2020
1553791,The Pilgrims Progress,John Bunyan,,883680963,4,Whitaker Distribution,Paperback,,1981
15810872,Les Misérables,Victor Hugo,Norman Denny,1846140498,4.18,Penguin Classics,Hardcover,1232,2012
19721373,Harry Potter and the Methods of Rationality,Eliezer Yudkowsky,Less Wrong,,4.4,,ebook,2184,
39110619,The Richest Man in Babylon: The most inspiring book on wealth ever written,George S. Clason,General Press,,4.26,GENERAL PRESS,Kindle Edition,133,2018
34168383,1984,George Orwell,,1328869334,4.19,Houghton Mifflin Harcourt,Hardcover,304,2017
18144590,The Alchemist,Paulo Coelho,"Alan R. Clarke, James Noel Smith",62315005,3.89,HarperOne,Paperback,182,2014
35504431,Turtles All the Way Down,John Green,,525555366,3.94,Dutton Books for Young Readers,Hardcover,286,2017
13529074,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,,1455509124,4.09,Grand Central Publishing,Hardcover,304,2012
8120173,The Book Thief,Markus Zusak,,,4.38,Knopf Books for Young Readers,Kindle Edition,576,2007
16250900,"Code Name Verity (Code Name Verity, #1)",Elizabeth Wein,,1423152883,4.01,"Little, Brown Books for Young Readers",Paperback,332,2013
30972868,Becoming a Writer,Dorothea Brande,,,3.99,Jeremy P. Tarcher,Paperback,,1981
9737,"Ender's Game (Ender's Saga, #1)",Orson Scott Card,,765317389,4.3,Tor Books,Hardcover,226,2006
49392854,The Fellowship of the Ring,J.R.R. Tolkien,Alan Lee,8376123,4.37,HarperCollins,Hardcover,407,2020
24337,Ella Enchanted (Ella Enchanted #1),Gail Carson Levine,,590920685,3.98,Scholastic Books,Paperback,232,1998
1054397,"Field Notes from a Catastrophe: Man, Nature, and Climate Change",Elizabeth Kolbert,,1596911255,4.02,Bloomsbury USA,Hardcover,192,2006
31178738,The Pearl Thief,Elizabeth Wein,,1484717163,3.75,Disney-Hyperion,Hardcover,326,2017
32051912,The Alice Network,Kate Quinn,,62654195,4.27,William Morrow Paperbacks,Paperback,503,2017
20708810,Egg & Spoon,Gregory Maguire,,763672203,3.63,Candlewick Press,Hardcover,475,2014
8323492,My Reading Life,Pat Conroy,,,3.93,,Kindle Edition,337,
25733983,Lab Girl,Hope Jahren,,1101874937,3.97,Knopf,Hardcover,290,2016
100247,Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Rolf Potts,,812992180,3.95,Villard Books,Paperback,205,2002
222458,Rules,Cynthia Lord,,439443822,3.98,Scholastic Press,Hardcover,208,2006
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,,1400032717,3.89,Vintage,Paperback,226,2004
386162,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,,,4.22,Del Rey,Paperback,193,2007
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,,142000280,3.98,Penguin Group,Paperback,267,2002
35820384,Dictionary Stories: Short Fictions and Other Findings,Jez Burrows,,62652613,3.69,Harper Perennial,Paperback,256,2018
30257963,12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,"Norman Doidge, Ethan Van Sciver",345816021,3.93,Random House Canada,Hardcover,409,2018
18406849,Things That Are: Essays,Amy Leach,,1571313516,4.12,Milkweed Editions,Paperback,208,2014
12079138,A Room of One's Own,Virginia Woolf,,,4.17,"Harcourt, Brace & World",Paperback,118,1957
1223568,Faust in Copenhagen: A Struggle for the Soul of Physics,Gino Segrè,,067003858X,3.97,Viking Adult,Hardcover,384,2007
8049273,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,,039333810X,4.07,W. W. Norton & Company,Paperback,464,2010
13514612,All Our Yesterdays,Cristin Terrill,,1423176375,4.02,Disney Hyperion,Hardcover,362,2013
8695,"The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy, #2)",Douglas Adams,,,4.2,Del Rey,Paperback,250,2005
31572054,"The Imposter's Handbook (Imposter's Handbook, #1)",Rob Conery,,,3.84,Big Machine,ebook,463,2016
83346,"Through the Looking-Glass and What Alice Found There (Alice's Adventures in Wonderland, #2)",Lewis Carroll,"John Tenniel, Peter Glassman",688120490,4.05,Books of Wonder,Hardcover,228,1993
13079982,Fahrenheit 451,Ray Bradbury,,,3.99,Simon & Schuster,Kindle Edition,194,2011
6324090,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,,,3.98,Public Domain Books,Kindle Edition,96,1997
6411668,"The Little Book of Mathematical Principles, Theories, & Things",Robert Solomon,,1435104897,3.88,Metro books,Hardcover,224,2008
77727,Calvin and Hobbes (Calvin and Hobbes #1),Bill Watterson,G.B. Trudeau,836220889,4.6,Andrews McMeel Publishing,Paperback,128,1987
34466963,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,,,4.36,Scribner,Hardcover,368,2017
42086897,How To: Absurd Scientific Advice for Common Real-World Problems,Randall Munroe,,1473680336,4.14,John Murray,Paperback,308,2019
669444,The White Fox Chronicles,Gary Paulsen,,044041248X,4.14,Laurel Leaf,Paperback,288,2002
26883549,Peter Pan,J.M. Barrie,,1909621633,4.02,Macmillan Collector's Library,Hardcover,200,2016
23604559,My Grandmother Asked Me to Tell You She's Sorry,Fredrik Backman,Henning Koch,1501115065,4.05,Atria Books,Hardcover,372,2015
40121378,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,,,4.36,Avery,Kindle Edition,319,2018
27213329,Grit: The Power of Passion and Perseverance,Angela Duckworth,จารุจรรย์ คงมีสุข,1443442313,4.07,Collins,Hardcover,277,2016
24400,The Trouble With Poetry - And Other Poems,Billy Collins,,375755217,4.17,Random House Trade,Paperback,88,2007
49392853,The Hobbit,J.R.R. Tolkien,Alan Lee,8376115,4.28,HarperCollins,Hardcover,307,2020
44767458,"Dune (Dune, #1)",Frank Herbert,,059309932X,4.23,Ace Books,Hardcover,688,2019
59151,Chess Story,Stefan Zweig,"Peter Gay, Joel Rotenberg",1590171691,4.29,NYRB Classics,Paperback,104,2005
170606,"The Silver Chair (Chronicles of Narnia, #6)",C.S. Lewis,"Pauline Baynes, David Wiesner",60234954,3.95,HarperCollins,Hardcover,256,2007
980900,"The Last Battle (Chronicles of Narnia, #7)",C.S. Lewis,Pauline Baynes,61125296,4.01,HarperCollins Publishers,Hardcover,224,2006
170604,"The Magician's Nephew (Chronicles of Narnia, #1)",C.S. Lewis,Pauline Baynes,60234970,4.04,HarperCollins,Hardcover,202,2007
170605,"The Horse and His Boy (Chronicles of Narnia, #3)",C.S. Lewis,"Pauline Baynes, Chris Van Allsburg",60234881,3.91,HarperCollins,Hardcover,224,2007
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,,,4.62,Arthur A. Levine Books,Hardcover,759,2007
140225,"The Voyage of the Dawn Treader (Chronicles of Narnia, #3)",C.S. Lewis,Pauline Baynes,006112527X,4.08,HarperCollins,Hardcover,248,2006
140212,"The Lion, the Witch and the Wardrobe",C.S. Lewis,Pauline Baynes,61125237,4.22,HarperCollins Publishers,Hardcover,189,2006
28868,"Prince Caspian (Chronicles of Narnia, #4)",C.S. Lewis,,61125253,3.97,HarperCollins Publishers,Hardcover,223,2006
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,Mary GrandPré,439064864,4.43,Arthur A. Levine Books,Hardcover,341,1999
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,Mary GrandPré,043965548X,4.57,Scholastic Inc.,Mass Market Paperback,435,2004
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,Mary GrandPré,,4.56,Scholastic,Paperback,734,2002
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,Mary GrandPré,,4.5,Scholastic Inc.,Paperback,870,2004
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,,,4.57,Scholastic Inc.,Paperback,652,2006
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,,,4.48,Scholastic Inc,Hardcover,309,2003
40090596,Art Matters,Neil Gaiman,Chris Riddell,,4.28,Headline,Kindle Edition,112,2018
22962342,Fret Busters: God's Peace for Your Problems Today,Roy Lessin,,736959076,5,Harvest House Publishers,Hardcover,128,2015
29889257,Neuromancer,William Gibson,Neil Gaiman,143111604,3.9,Penguin Group,Hardcover,277,2016
34347493,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,Daniel Dos Santos,756413710,4.52,DAW,Hardcover,752,2017
36622739,The Courage to Be Disliked: The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness,Ichiro Kishimi,Fumitake Koga,1501197274,4.07,Atria Books,Hardcover,288,2018
54191640,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,,,4.35,Tor Books,Kindle Edition,815,2010
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,,,4.15,Tor.com,ebook,144,2017
40611510,The Last Lecture,Randy Pausch,,,4.24,Hachette Books,Kindle Edition,217,2008
42741967,The Deal of a Lifetime,Fredrik Backman,,,3.77,Atria Books,Kindle Edition,96,2018
35014337,"We Are Legion (We Are Bob) (Bobiverse, #1)",Dennis E. Taylor,,1680680587,4.28,Ethan Ellenberg Literary Agency,Paperback,308,2017
53321665,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,,,4.44,Tor Books,Kindle Edition,676,2010
37880811,Make Time: How to Focus on What Matters Every Day,Jake Knapp,John Zeratsky,525572422,4.08,Currency,Hardcover,287,2018
43708884,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,,1529105102,4.6,Ebury Press,Hardcover,128,2019
146160,"Tintin and the Picaros (Tintin, #23)",Hergé,"Leslie Lonsdale-Cooper, Michael      Turner",416851703,4.02,Methuen Publishing,Paperback,64,1993
146106,"The Castafiore Emerald (Tintin, #21)",Hergé,"Leslie Lonsdale-Cooper, Michael      Turner",316358428,3.94,"Little, Brown and Co.",Paperback,62,1975
179172,"Destination Moon (Tintin, #16)",Hergé,"Leslie Lonsdale-Cooper, Michael      Turner",316358452,4.2,"Little, Brown and Co.",Paperback,62,1976
192043,"Flight 714 to Sydney (Tintin, #22)",Hergé,"Leslie Lonsdale-Cooper, Michael      Turner",1405206330,3.98,Egmont,Paperback,62,2011
6443100,"The Calculus Affair (Tintin, #18)",Hergé,"Leslie Lonsdale-Cooper, Michael      Turner",316358479,4.14,"Little, Brown and Co.",Paperback,62,1976
165526,"The Red Sea Sharks (Tintin, #19)",Hergé,,1405206306,3.99,Farshore,Paperback,64,2012
146109,"Red Rackham's Treasure (Tintin, #12)",Hergé,"Leslie Lonsdale-Cooper, Michael      Turner",1405206233,4.27,Egmont,Paperback,64,2012
146104,"The Seven Crystal Balls (Tintin, #13)",Hergé,,828850712,4.2,French & European Pubns,Paperback,63,1979
96428,"Prisoners of the Sun (Tintin, #14)",Hergé,,140520625X,4.23,Egmont,Paperback,62,2002
146128,"Land of Black Gold (Tintin, #15)",Hergé,,1405206268,4.02,Farshore,Paperback,64,2012
179174,"The Secret of the Unicorn (Tintin, #11)",Hergé,,316358320,4.29,"Little, Brown Books for Young Readers",Paperback,62,1974
191960,"The Black Island (Tintin, #7)",Hergé,,1405206187,4.01,Farshore,Paperback,62,2012
146108,"King Ottokar's Sceptre (Tintin, #8)",Hergé,"Michael      Turner, Leslie Lonsdale-Cooper",416605109,4.02,Mammoth,Hardcover,62,1997
165555,"The Crab with the Golden Claws (Tintin, #9)",Hergé,,1405206209,4.08,Egmont UK Ltd,Paperback,64,2002
146107,The Shooting Star (Tintin #10),Hergé,,1405206217,3.91,Egmont UK Limited,Paperback,62,2002
146122,Cigars of the Pharaoh (Tintin #4),Hergé,,,4.06,,ebook,63,
54615879,The Original,Brandon Sanderson,"Mary Robinette Kowal, Julia Whelan",,3.84,Recorded Books,Audiobook,4,2020
790192,"Tintin in America (Tintin, #3 )",Hergé,,316358525,3.75,"Little, Brown and Co.",Paperback,62,1979
805047,The Man In The High Castle,Philip K. Dick,,140285628,3.61,Penguin Books,Paperback,256,1999
17470669,"I, Robot",Isaac Asimov,,7491514,4.2,Voyager,Hardcover,245,2013
44002889,The Hero of Ages: Book Three of Mistborn,Brandon Sanderson,,1250318629,4.48,Tor Books,Paperback,784,2019
50862038,The Call Me Ishmael Phone Book: An Interactive Guide to Life-Changing Books,Logan Smalley,Stephanie  Kent,1982140585,4.17,Avid Reader Press / Simon  Schuster,Paperback,256,2020
21413760,"The Upward Spiral: Using Neuroscience to Reverse the Course of Depression, One Small Change at a Time",Alex Korb,,1626251207,4.26,New Harbinger Publications,Paperback,240,2015
49392857,The Return of the King,J.R.R. Tolkien,Alan Lee,000837614X,4.53,HarperCollins,Hardcover,484,2020
112204,The Complete Poems of Emily Dickinson,Emily Dickinson,Thomas H. Johnson,,4.23,"Little, Brown and Company",Paperback,716,1976
57281746,"Neverwhere (London Below, #1)",Neil Gaiman,,,4.16,William Morrow,Kindle Edition,400,2009
22007410,The Lathe of Heaven,Ursula K. Le Guin,,,4.11,Diversion Books,Kindle Edition,194,2014
895473,Ubik,Philip K. Dick,Michael Marshall Smith,575079215,4.07,Gollancz,Paperback,208,2006
23677981,Mark Manson on Happiness,Mark Manson,,,4.11,,ebook,,
25546167,"Descender, Vol. 1: Tin Stars",Jeff Lemire,"Dustin Nguyen, Steve Wands",1632154269,4.09,Image Comics,Paperback,160,2015
12077902,Solaris: The Definitive Edition,Stanisław Lem,"Bill Johnston, Alessandro Juliani",,3.99,Audible Frontiers,Audible Audio,8,2011
286957,The Yellow Wall-Paper,Charlotte Perkins Gilman,Elaine Hedges,1558611584,4.1,The Feminist Press at CUNY,Paperback,64,1996
35519101,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,,1250191785,4.26,Tor.com,Hardcover,158,2018
50395705,"Dune: the Graphic Novel, Book 1",Brian Herbert,"Kevin J. Anderson, Frank Herbert, Raul Allen, Patricia Martín, Bill Sienkiewicz",1419731505,4.05,Abrams ComicArts,Hardcover,176,2020
35519109,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,,,4.38,Tor.com,Kindle Edition,176,2018
36223860,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,,1250186927,4.27,Tor.com,Hardcover,158,2018
57281804,The Ocean at the End of the Lane,Neil Gaiman,,,4,William Morrow,Kindle Edition,259,2013
4981,Slaughterhouse-Five,Kurt Vonnegut Jr.,,385333846,4.08,Dial Press,Paperback,275,1999
34403549,Do Androids Dream of Electric Sheep? (Blade Runner #1),Philip K. Dick,,,4.08,Del Rey,Paperback,224,2017
49088665,House of Suns,Alastair Reynolds,,316462624,4.2,Orbit,Paperback,512,2020
8694,"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy, #3)",Douglas Adams,,345418905,4.19,Del Rey,Paperback,224,2005
17184,The Invisible Man,H.G. Wells,,451528522,3.64,Signet Classics,Paperback,192,2002
6115136,Rice Boy,Evan Dahm,,,4.38,,Paperback,460,2008
45047384,The House in the Cerulean Sea,T.J. Klune,,,4.53,Tor Books,Kindle Edition,394,2020
52532330,You Will Be Found,Benj Pasek,Justin Paul,316537667,4.58,"Little, Brown Books for Young Readers",Hardcover,64,2020
18386,The Death of Ivan Ilych,Leo Tolstoy,"Aylmer Maude, رضی هیرمند",1600964338,4.09,Waking Lion Press,Paperback,86,2006
57435212,Shiver,Allie Reynolds,,1101949627,3.86,G.P. Putnam's Sons,Paperback,390,2021
53288434,The Lost Apothecary,Sarah Penner,,778311015,3.86,Park Row,Hardcover,301,2021
52046853,"Consolations: The Solace, Nourishment and Underlying Meaning of Everyday Words",David Whyte,Maria Popova,1786897636,4.47,Canongate Books,Hardcover,192,2019
35681250,"Descender, Vol. 5: Rise of the Robots",Jeff Lemire,Dustin Nguyen,1534303456,4.25,Image Comics,Paperback,120,2018
56663640,"Breach of Peace (The Lawful Times, #0.1)",Daniel B. Greene,,,3.69,,ebook,98,2021
37491889,"Descender, Vol. 6: The Machine War",Jeff Lemire,Dustin Nguyen,1534306900,4.3,Image Comics,Paperback,152,2018
